Park Code,Park Name,State,Acres,Latitude,Longitude,present
ACAD,Acadia National Park,ME,47390,44.35,-68.21,1
ARCH,Arches National Park,UT,76519,38.68,-109.57,1
BADL,Badlands National Park,SD,242756,43.75,-102.5,1
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,1
BISC,Biscayne National Park,FL,172924,25.65,-80.08,1
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,1
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,1
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,1
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,1
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,1
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,1
CONG,Congaree National Park,SC,26546,33.78,-80.78,1
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,1
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,1
DENA,Denali National Park and Preserve,AK,3372402,63.33,-150.5,1
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,1
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,1
EVER,Everglades National Park,FL,1508538,25.32,-80.93,1
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,1
GLAC,Glacier National Park,MT,1013572,48.8,-114,1
GLBA,Glacier Bay National Park and Preserve,AK,3224840,58.5,-137,1
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,1
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,1
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,1
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,1
GRTE,Grand Teton National Park,WY,309995,43.73,-110.8,1
GUMO,Guadalupe Mountains National Park,TX,86416,31.92,-104.87,1
HALE,Haleakala National Park,HI,29094,20.72,-156.17,1
HAVO,Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,1
HOSP,Hot Springs National Park,AR,5550,34.51,-93.05,1
ISRO,Isle Royale National Park,MI,571790,48.1,-88.55,1
JOTR,Joshua Tree National Park,CA,789745,33.79,-115.9,1
KATM,Katmai National Park and Preserve,AK,3674530,58.5,-155,1
KEFJ,Kenai Fjords National Park,AK,669983,59.92,-149.65,1
KOVA,Kobuk Valley National Park,AK,1750717,67.55,-159.28,1
LACL,Lake Clark National Park and Preserve,AK,2619733,60.97,-153.42,1
LAVO,Lassen Volcanic National Park,CA,106372,40.49,-121.51,1
MACA,Mammoth Cave National Park,KY,52830,37.18,-86.1,1
MEVE,Mesa Verde National Park,CO,52122,37.18,-108.49,1
MORA,Mount Rainier National Park,WA,235625,46.85,-121.75,1
NOCA,North Cascades National Park,WA,504781,48.7,-121.2,1
OLYM,Olympic National Park,WA,922651,47.97,-123.5,1
PEFO,Petrified Forest National Park,AZ,93533,35.07,-109.78,1
PINN,Pinnacles National Park,CA,26606,36.48,-121.16,1
REDW,Redwood National Park,CA,112512,41.3,-124,1
ROMO,Rocky Mountain National Park,CO,265828,40.4,-105.58,1
SAGU,Saguaro National Park,AZ,91440,32.25,-110.5,1
SEKI,Sequoia and Kings Canyon National Parks,CA,865952,36.43,-118.68,1
SHEN,Shenandoah National Park,VA,199045,38.53,-78.35,1
THRO,Theodore Roosevelt National Park,ND,70447,46.97,-103.45,1
VOYA,Voyageurs National Park,MN,218200,48.5,-92.88,1
WICA,Wind Cave National Park,SD,28295,43.57,-103.48,1
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148,61,-142,1
YELL,Yellowstone National Park,"WY, MT, ID",2219791,44.6,-110.5,1
YOSE,Yosemite National Park,CA,761266,37.83,-119.5,1
ZION,Zion National Park,UT,146598,37.3,-113.05,1
JEFF,Gateway Arch National Park,MO,91,38.6251,-90.1867,0
INDU,Indiana Dunes National Park,IN,15066,41.6506,-87.0708,0
KICA,Kings Canyon National Park,CA,864640,36.8879,-118.5551,0
NPSA,National Park of American Samoa,AS,13500,14.2583,170.6833,0
NERI,New River Gorge National Park,WV,72808,37.8752,-81.0357,0
VIIS,Virgin Islands National Park,VI,12909,18.3435,64.7501,0
WHSA,White Sands National Park,NM,73600,32.7872,-106.3257,0